QSO RA Dec zem zmin zmax zabs logN elogN
"PSS J0131+0633" 22.80083 6.5611 4.430 3.008 4.341 3.1730 19.95 0.10
nan nan nan nan nan nan 3.6890 19.50 0.10
"PSS J0132+1341" 23.04104 13.6943 4.152 2.833 4.067 3.9360 20.40 0.15
"SDSS J013242.76-094301.5" 23.17820 -9.7171 4.264 3.278 4.178 nan nan nan
"FBQS J0132+0026" 23.20576 0.4409 3.183 2.307 3.114 nan nan nan
"SDSS J013317.78+144300.4" 23.32414 14.7168 3.231 2.563 3.162 2.9766 20.15 0.20
"PSS J0133+0400" 23.41800 4.0166 4.185 2.850 4.100 3.6920 20.70 0.10
nan nan nan nan nan nan 3.7725 20.70 0.10
nan nan nan nan nan nan 3.9950 19.90 0.10
"[HB89] 0131+013" 23.45347 1.6046 3.792 3.116 3.713 nan nan nan
"PSS J0134+3307" 23.58958 33.1323 4.536 2.976 4.445 3.7600 20.60 0.10
"UM 672" 23.66100 -19.5353 3.130 1.714 3.062 nan nan nan
"BRI J0137-4224" 24.35171 -42.4047 3.971 2.512 3.889 3.1000 19.70 0.10
"SDSS J013724.43-082419.8" 24.35180 -8.4055 2.566 2.307 2.508 nan nan nan
"SDSS J013729.94+002243.1" 24.37478 0.3786 2.744 2.374 2.683 nan nan nan
"SDSS J013854.66+142848.8" 24.72781 14.4803 3.126 2.830 3.058 nan nan nan
"SDSS J013858.67-101624.4" 24.74452 -10.2735 3.241 2.530 3.171 nan nan nan
"SDSS J013900.78-084720.5" 24.75329 -8.7891 3.135 2.328 3.067 nan nan nan
"SDSS J0139-0824" 24.75586 -8.4122 3.016 2.307 2.950 2.6773 20.70 0.15
"UM 121" 24.76010 6.2604 2.350 1.749 2.295 nan nan nan
"[HB89] 0136+176" 24.92491 17.8854 2.730 1.632 2.669 nan nan nan
"SDSS J014049.18-083942.5" 25.20495 -8.6618 3.716 3.249 3.639 nan nan nan
"FBQS J0141-0024" 25.34600 -0.4061 2.598 2.307 2.539 nan nan nan
"SDSS J014214.73+002324.3" 25.56147 0.3901 3.373 2.427 3.301 nan nan nan
"SDSS J014347.87+002736.3" 25.94956 0.4601 2.423 2.307 2.367 nan nan nan
"SDSS J014406.90-080701.5" 26.02876 -8.1171 2.508 2.406 2.450 nan nan nan
"[HB89] 0142-100" 26.31921 -9.7548 2.731 2.349 2.670 nan nan nan
"SDSS J014518.72+134300.2" 26.32801 13.7167 2.490 2.307 2.433 nan nan nan
"SDSS J014529.65-084133.3" 26.37355 -8.6926 2.483 2.315 2.426 nan nan nan
"UM 366" 26.46342 -1.3419 3.141 1.673 3.073 nan nan nan
"SDSS J014609.33-092918.2" 26.53889 -9.4884 4.148 3.625 4.064 3.6804 20.25 0.20
"UM 368" 26.58323 -0.7747 3.172 2.307 3.104 nan nan nan
"SDSS J0148-0907" 27.21108 -9.1203 3.313 2.307 3.242 nan nan nan
"SDSS J014937.97+142548.6" 27.40823 14.4302 3.305 2.639 3.234 nan nan nan
"SDSS J015006.46-080203.5" 27.52697 -8.0343 2.592 2.307 2.533 nan nan nan
"SDSS J015009.45-082510.7" 27.53941 -8.4197 2.763 2.404 2.701 nan nan nan
"SDSS J015017.71+002902.3" 27.57380 0.4840 2.979 2.586 2.914 nan nan nan
"SDSS J0150+0041" 27.70346 0.6906 3.703 3.238 3.626 nan nan nan
"MG3 J015105+2516" 27.77597 25.2913 3.100 1.825 3.033 nan nan nan
"UM 674" 27.77793 -9.5334 2.850 1.797 2.787 nan nan nan
"PSS J0152+0735" 28.04625 7.5973 4.051 1.890 3.968 3.8400 20.70 0.20
"[HB89] 0149+335" 28.14407 33.8425 2.430 1.640 2.374 2.1413 20.50 0.20
"SDSS J015313.81-085820.5" 28.30760 -8.9724 2.468 2.307 2.411 nan nan nan
"SDSS J015339.60-001104.8" 28.41505 -0.1847 4.195 2.825 4.110 nan nan nan
"SDSS J015514.43+141241.4" 28.81019 14.2115 3.824 3.346 3.745 3.6579 20.60 0.15
"UM 148" 29.15011 4.7578 2.993 1.673 2.927 nan nan nan
"SDSS J015741.56-010629.5" 29.42320 -1.1082 3.564 2.456 3.489 nan nan nan
"SDSS J015819.76-001222.0" 29.58237 -0.2061 3.285 2.307 3.215 nan nan nan
"SDSS J015925.07-001755.3" 29.85448 -0.2987 3.281 2.356 3.211 nan nan nan
"SDSS J015935.48+000401.2" 29.89784 0.0670 3.275 2.921 3.205 nan nan nan
"UM 154" 30.49892 3.8451 2.470 1.644 2.413 nan nan nan
"SDSS J020316.37-074832.1" 30.81821 -7.8089 3.303 2.436 3.232 nan nan nan
"SDSS J020446.86+125650.0" 31.19529 12.9472 3.086 2.409 3.019 nan nan nan
"[HB89] 0201+365" 31.23165 36.8217 2.912 1.632 2.848 1.7680 20.50 0.20
nan nan nan nan nan nan 2.4614 20.40 0.20
"SDSS J020608.14-085923.1" 31.53392 -8.9898 2.361 2.307 2.306 nan nan nan
"SDSS J020651.46-094141.3" 31.71443 -9.6948 3.132 2.785 3.064 nan nan nan
"SDSS J020944.62+051713.5" 32.43588 5.2871 4.194 2.943 4.109 3.6660 20.50 0.10
nan nan nan nan nan nan 3.8620 20.30 0.15
"UM 402" 32.46129 -0.0851 2.850 2.307 2.787 nan nan nan
"SDSS J020951.92-082904.8" 32.46635 -8.4847 3.040 2.696 2.974 nan nan nan
"SDSS J0210-0018" 32.67984 -0.3051 4.700 3.177 4.606 nan nan nan
"SDSS J0211-0009" 32.76133 -0.1529 4.874 3.402 4.778 nan nan nan
"PSS J0211+1107" 32.83346 11.1212 3.973 2.439 3.891 2.5255 20.00 0.10
nan nan nan nan nan nan 3.1415 20.00 0.10
nan nan nan nan nan nan 3.5015 19.90 0.10
"SDSS J021129.16+124110.7" 32.87154 12.6863 2.954 2.307 2.889 2.5947 20.60 0.15
"SDSS J021150.72+120949.7" 32.96138 12.1639 3.067 2.686 3.000 nan nan nan
"SDSS J021206.14-091438.5" 33.02559 -9.2440 2.418 2.307 2.362 nan nan nan
"SDSS J021232.19-100422.1" 33.13417 -10.0728 2.497 2.350 2.440 nan nan nan
"SDSS J021318.98-090458.2" 33.32910 -9.0829 3.794 2.820 3.715 nan nan nan
"PMN J0214-0518" 33.62208 -5.2958 3.977 2.554 3.895 3.7207 19.70 0.15
"SDSS J021540.92-092536.7" 33.92056 -9.4269 3.059 2.440 2.992 nan nan nan
"SDSS J021646.94-092107.2" 34.19560 -9.3520 3.716 3.249 3.639 nan nan nan
"SDSS J021720.47+005935.6" 34.33530 0.9933 2.788 2.400 2.726 nan nan nan
"SDSS J021740.96-085447.9" 34.42070 -8.9133 2.571 2.307 2.512 nan nan nan
"[HB89] 0216+080" 34.73890 8.2910 3.000 1.731 2.934 2.2930 20.50 0.20
"SDSS J022103.53-074948.8" 35.26472 -7.8303 2.575 2.307 2.516 nan nan nan
"SDSS J022143.18-001803.8" 35.42996 -0.3011 2.645 2.307 2.585 nan nan nan
"SDSS J022437.10-083426.6" 36.15460 -8.5741 3.136 2.713 3.068 nan nan nan
"SDSS J022518.35-001332.2" 36.32651 -0.2256 3.627 2.661 3.551 nan nan nan
"SDSS J022559.77-073938.7" 36.49908 -7.6608 2.993 2.598 2.927 nan nan nan
"SDSS J022632.49-003841.4" 36.63546 -0.6448 2.351 2.307 2.296 nan nan nan
