Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
"[HB89] 0201+365",31.23165,36.82167,QSO,872996.00,2.912,,17.5,,115,0,30,17,9,0,0
WISEA J020944.62+051713.8,32.43588,5.28712,QSO,1251334.00,4.174,,17.8,,48,1,21,15,11,0,0
UM 402,32.46129,-0.08512,QSO,858891.00,2.864951,,17.1g,,128,0,52,28,36,8,0
WISEA J021129.16+124110.8,32.87154,12.68633,QSO,888225.00,2.962798,,19.0g,,43,1,48,13,19,8,0
"[HB89] 0216+080",34.7389,8.29104,QSO,896679.00,2.991,,18.1,,83,3,18,10,6,0,0
WISEA J022554.85+005451.8,36.47855,0.91442,QSO,893419.00,2.980123,,19.1g,,48,0,51,40,48,8,0
WISEA J022839.10-101110.5,37.1633,-10.18639,QSO,676332.00,2.256,,15.1R,,44,1,27,7,1,0,0
"[HB89] 0226-038",37.22171,-3.62698,G,616074.00,2.055,,18.4b,,159,0,51,25,8,0,1
"[HB89] 0229+131",37.94123,13.38187,QSO,617273.00,2.059,,17.71,,257,5,81,26,12,0,0
WISEA J023359.71+004938.4,38.49884,0.82738,QSO,759160.00,2.532286,,17.9g,,53,0,56,21,30,8,0
"[HB89] 0235+164",39.66221,16.61647,QSO,281805.00,0.94,,18.0V,,928,19,247,51,30,0,0
WISEA J023924.48-090138.7,39.85201,-9.0274,QSO,743917.00,2.48144,,17.9g,,34,0,58,14,18,8,0
"[HB89] 0237-233",40.03406,-23.15437,QSO,666439.00,2.223,,16.63,,423,8,106,28,10,0,0
WISEA J024401.84-013403.9,41.00765,-1.56776,QSO,1215059.00,4.053,,18.2,,40,1,22,11,7,0,0
WISE J024854.30+180250.0,42.22625,18.04722,QSO,1325682.00,4.422,,18.4,,41,2,22,9,5,0,0
WISEA J025127.73+341441.9,42.86562,34.24491,QSO,668537.00,2.23,,17.7,,13,0,22,7,2,0,0
LBQS 0252+0136,43.8135,1.80789,QSO,738989.00,2.465,,18.2B,,40,0,27,9,5,0,0
WISEA J025518.59+004847.4,43.82741,0.81318,QSO,1203703.00,4.01512,,20.7g,,77,0,50,22,33,8,0
FBQS J0256-0119,44.1065,-1.32003,QSO,746783.00,2.491,,18.2,,21,1,23,8,2,0,0
LBQS 0254+0000,44.18621,0.21278,QSO,676952.00,2.258069,,17.8g,,74,0,41,22,27,5,0
LBQS 0256-0000,44.77349,0.18943,QSO,1011569.00,3.374229,,18.3g,,125,1,59,25,31,8,0
